date,ML,Low,High
2020-02-28,2.0,0.34,6.43
2020-02-29,1.24,0.43,2.2600000000000002
2020-03-01,1.23,0.51,1.98
2020-03-02,1.3800000000000001,0.74,2.0100000000000002
2020-03-03,1.71,1.18,2.2600000000000002
2020-03-04,1.9000000000000001,1.46,2.36
2020-03-05,1.8900000000000001,1.52,2.2800000000000002
2020-03-06,1.86,1.54,2.2
2020-03-07,1.79,1.5,2.1
2020-03-08,1.72,1.46,2.0100000000000002
2020-03-09,1.79,1.55,2.05
2020-03-10,1.84,1.6300000000000001,2.08
2020-03-11,1.92,1.72,2.12
2020-03-12,1.99,1.81,2.16
2020-03-13,1.98,1.82,2.13
2020-03-14,1.94,1.8,2.08
2020-03-15,1.86,1.73,1.98
2020-03-16,1.82,1.71,1.94
2020-03-17,1.82,1.72,1.93
2020-03-18,1.81,1.72,1.9100000000000001
2020-03-19,1.75,1.6600000000000001,1.83
2020-03-20,1.71,1.6300000000000001,1.79
2020-03-21,1.68,1.6,1.74
2020-03-22,1.6500000000000001,1.58,1.71
2020-03-23,1.61,1.54,1.6600000000000001
2020-03-24,1.57,1.51,1.6300000000000001
2020-03-25,1.53,1.47,1.58
2020-03-26,1.47,1.42,1.52
2020-03-27,1.4000000000000001,1.35,1.45
2020-03-28,1.31,1.26,1.35
2020-03-29,1.23,1.19,1.28
2020-03-30,1.17,1.1300000000000001,1.22
2020-03-31,1.12,1.08,1.17
2020-04-01,1.09,1.04,1.1300000000000001
2020-04-02,1.08,1.04,1.1300000000000001
2020-04-03,1.07,1.02,1.11
2020-04-04,1.05,1.01,1.1
2020-04-05,1.01,0.97,1.06
2020-04-06,0.97,0.93,1.02
2020-04-07,0.93,0.89,0.98
2020-04-08,0.9,0.85,0.9400000000000001
2020-04-09,0.85,0.8,0.89
2020-04-10,0.8200000000000001,0.77,0.86
2020-04-11,0.79,0.74,0.8300000000000001
2020-04-12,0.76,0.72,0.8200000000000001
2020-04-13,0.74,0.6900000000000001,0.79
2020-04-14,0.72,0.67,0.77
2020-04-15,0.72,0.67,0.78
2020-04-16,0.74,0.68,0.79
2020-04-17,0.75,0.7000000000000001,0.81
2020-04-18,0.8,0.74,0.86
2020-04-19,0.84,0.78,0.9
2020-04-20,0.88,0.8200000000000001,0.9400000000000001
2020-04-21,0.9,0.84,0.96
2020-04-22,0.87,0.81,0.93
2020-04-23,0.84,0.78,0.91
2020-04-24,0.8,0.74,0.87
2020-04-25,0.77,0.71,0.84
2020-04-26,0.75,0.6900000000000001,0.8300000000000001
2020-04-27,0.75,0.68,0.8200000000000001
2020-04-28,0.75,0.67,0.81
2020-04-29,0.74,0.66,0.81
2020-04-30,0.71,0.63,0.78
2020-05-01,0.68,0.6,0.76
2020-05-02,0.67,0.59,0.76
2020-05-03,0.68,0.6,0.77
2020-05-04,0.72,0.63,0.81
2020-05-05,0.75,0.66,0.84
2020-05-06,0.81,0.72,0.91
2020-05-07,0.86,0.77,0.96
2020-05-08,0.89,0.79,0.98
2020-05-09,0.93,0.84,1.04
2020-05-10,0.9500000000000001,0.86,1.06
2020-05-11,0.9500000000000001,0.85,1.05
2020-05-12,0.9400000000000001,0.84,1.04
2020-05-13,0.88,0.78,0.98
2020-05-14,0.84,0.74,0.9500000000000001
2020-05-15,0.8200000000000001,0.72,0.93
2020-05-16,0.79,0.68,0.9
2020-05-17,0.81,0.7000000000000001,0.92
2020-05-18,0.8300000000000001,0.72,0.9500000000000001
2020-05-19,0.8300000000000001,0.72,0.9500000000000001
2020-05-20,0.85,0.73,0.97
2020-05-21,0.8300000000000001,0.71,0.9500000000000001
2020-05-22,0.8300000000000001,0.71,0.96
2020-05-23,0.86,0.74,0.99
2020-05-24,0.85,0.72,0.97
2020-05-25,0.8200000000000001,0.7000000000000001,0.96
2020-05-26,0.8300000000000001,0.7000000000000001,0.97
2020-05-27,0.8200000000000001,0.6900000000000001,0.96
2020-05-28,0.85,0.72,1.0
2020-05-29,0.91,0.77,1.05
2020-05-30,0.9500000000000001,0.81,1.09
2020-05-31,0.97,0.8300000000000001,1.11
2020-06-01,0.97,0.8200000000000001,1.1
2020-06-02,0.92,0.78,1.07
2020-06-03,0.87,0.73,1.02
2020-06-04,0.85,0.71,1.01
2020-06-05,0.8200000000000001,0.66,0.96
2020-06-06,0.8300000000000001,0.68,0.99
2020-06-07,0.86,0.7000000000000001,1.02
2020-06-08,0.92,0.77,1.09
2020-06-09,0.98,0.8200000000000001,1.1400000000000001
2020-06-10,1.0,0.85,1.17
2020-06-11,0.97,0.81,1.1300000000000001
2020-06-12,0.9400000000000001,0.78,1.1
2020-06-13,0.91,0.76,1.09
2020-06-14,0.93,0.77,1.1
2020-06-15,0.9500000000000001,0.79,1.12
2020-06-16,1.06,0.9,1.23
2020-06-17,1.16,1.0,1.32
2020-06-18,1.28,1.12,1.43
2020-06-19,1.37,1.22,1.52
2020-06-20,1.4000000000000001,1.26,1.54
2020-06-21,1.4000000000000001,1.27,1.54
2020-06-22,1.34,1.22,1.48
