date,Original Cases,Smoothed Cases
2020-02-28,53,39.0
2020-02-29,11,39.0
2020-03-01,63,41.0
2020-03-02,28,49.0
2020-03-03,41,71.0
2020-03-04,66,99.0
2020-03-05,138,123.0
2020-03-06,239,150.0
2020-03-07,156,164.0
2020-03-08,107,179.0
2020-03-09,237,231.0
2020-03-10,157,310.0
2020-03-11,271,422.0
2020-03-12,802,564.0
2020-03-13,693,708.0
2020-03-14,733,848.0
2020-03-15,1043,959.0
2020-03-16,1174,1149.0
2020-03-17,1144,1433.0
2020-03-18,1042,1782.0
2020-03-19,2801,2092.0
2020-03-20,2958,2446.0
2020-03-21,2705,2827.0
2020-03-22,1948,3209.0
2020-03-23,4062,3607.0
2020-03-24,4764,4090.0
2020-03-25,4118,4612.0
2020-03-26,4954,4971.0
2020-03-27,5780,5121.0
2020-03-28,6294,5103.0
2020-03-29,3965,5056.0
2020-03-30,4751,5040.0
2020-03-31,4615,5145.0
2020-04-01,5453,5369.0
2020-04-02,6156,5700.0
2020-04-03,6174,5743.0
2020-04-04,6082,5564.0
2020-04-05,5936,5169.0
2020-04-06,3677,4762.0
2020-04-07,3834,4523.0
2020-04-08,4003,4431.0
2020-04-09,4974,4354.0
2020-04-10,5323,4229.0
2020-04-11,4133,3858.0
2020-04-12,2821,3376.0
2020-04-13,2537,2925.0
2020-04-14,2082,2680.0
2020-04-15,2486,2708.0
2020-04-16,2866,2834.0
2020-04-17,3380,2884.0
2020-04-18,3609,2801.0
2020-04-19,2458,2593.0
2020-04-20,1775,2361.0
2020-04-21,1785,2199.0
2020-04-22,2237,2128.0
2020-04-23,2352,2130.0
2020-04-24,2337,2063.0
2020-04-25,2055,1900.0
2020-04-26,1737,1674.0
2020-04-27,1018,1477.0
2020-04-28,1144,1371.0
2020-04-29,1304,1318.0
2020-04-30,1478,1282.0
2020-05-01,1639,1219.0
2020-05-02,945,1090.0
2020-05-03,793,956.0
2020-05-04,679,882.0
2020-05-05,685,881.0
2020-05-06,947,971.0
2020-05-07,1284,1037.0
2020-05-08,1209,1029.0
2020-05-09,1251,975.0
2020-05-10,667,878.0
2020-05-11,357,801.0
2020-05-12,933,783.0
2020-05-13,798,785.0
2020-05-14,933,797.0
2020-05-15,913,764.0
2020-05-16,620,678.0
2020-05-17,583,618.0
2020-05-18,342,585.0
2020-05-19,513,578.0
2020-05-20,797,603.0
2020-05-21,745,606.0
2020-05-22,460,580.0
2020-05-23,638,530.0
2020-05-24,431,465.0
2020-05-25,289,415.0
2020-05-26,432,417.0
2020-05-27,362,445.0
2020-05-28,353,480.0
2020-05-29,741,507.0
2020-05-30,738,486.0
2020-05-31,286,440.0
2020-06-01,333,388.0
2020-06-02,213,351.0
2020-06-03,342,348.0
2020-06-04,394,373.0
2020-06-05,507,377.0
2020-06-06,407,370.0
2020-06-07,301,346.0
2020-06-08,214,340.0
2020-06-09,350,336.0
2020-06-10,318,349.0
2020-06-11,555,354.0
2020-06-12,258,340.0
2020-06-13,348,318.0
2020-06-14,247,303.0
2020-06-15,192,310.0
2020-06-16,378,371.0
2020-06-17,345,443.0
2020-06-18,580,528.0
2020-06-19,770,591.0
2020-06-20,601,622.0
2020-06-21,687,635.0
2020-06-22,537,625.0
